id,location_id,store_name,period_start,period_end,guests_per_negative,loaded_at
52,112-0002,Muskogee (OK),2023-07-13,2023-08-09,6595.5,2026-04-03T19:22:18.585506+00:00
53,112-0002,Muskogee (OK),2023-08-10,2023-09-06,12361.0,2026-04-03T19:22:18.585506+00:00
54,112-0002,Muskogee (OK),2023-09-07,2023-10-04,6028.5,2026-04-03T19:22:18.585506+00:00
55,112-0002,Muskogee (OK),2023-10-05,2023-11-01,12558.0,2026-04-03T19:22:18.585506+00:00
56,112-0002,Muskogee (OK),2023-11-02,2023-11-29,11782.0,2026-04-03T19:22:18.585506+00:00
57,112-0002,Muskogee (OK),2023-11-30,2023-12-27,13167.0,2026-04-03T19:22:18.585506+00:00
58,112-0002,Muskogee (OK),2023-12-28,2024-01-24,2074.4,2026-04-03T19:22:18.585506+00:00
59,112-0002,Muskogee (OK),2024-01-25,2024-02-21,11641.0,2026-04-03T19:22:18.585506+00:00
60,112-0002,Muskogee (OK),2024-02-22,2024-03-20,6485.0,2026-04-03T19:22:18.585506+00:00
61,112-0002,Muskogee (OK),2024-03-21,2024-04-17,2086.5,2026-04-03T19:22:18.585506+00:00
62,112-0002,Muskogee (OK),2024-04-18,2024-05-15,12284.0,2026-04-03T19:22:18.585506+00:00
63,112-0002,Muskogee (OK),2024-05-16,2024-06-12,13177.0,2026-04-03T19:22:18.585506+00:00
64,112-0002,Muskogee (OK),2024-06-13,2024-07-10,13239.0,2026-04-03T19:22:18.585506+00:00
65,112-0002,Muskogee (OK),2024-07-11,2024-08-07,6635.5,2026-04-03T19:22:18.585506+00:00
66,112-0002,Muskogee (OK),2024-08-08,2024-09-04,5854.5,2026-04-03T19:22:18.585506+00:00
67,112-0002,Muskogee (OK),2024-09-05,2024-10-02,11655.0,2026-04-03T19:22:18.585506+00:00
68,112-0002,Muskogee (OK),2024-10-03,2024-10-30,12188.0,2026-04-03T19:22:18.585506+00:00
69,112-0002,Muskogee (OK),2024-10-31,2024-11-27,11749.0,2026-04-03T19:22:18.585506+00:00
70,112-0002,Muskogee (OK),2024-11-28,2024-12-25,12927.0,2026-04-03T19:22:18.585506+00:00
71,112-0002,Muskogee (OK),2024-12-26,2025-01-22,5264.0,2026-04-03T19:22:18.585506+00:00
72,112-0002,Muskogee (OK),2025-01-23,2025-02-19,3705.0,2026-04-03T19:22:18.585506+00:00
73,112-0002,Muskogee (OK),2025-02-20,2025-03-19,3362.25,2026-04-03T19:22:18.585506+00:00
74,112-0002,Muskogee (OK),2025-03-20,2025-04-16,12479.0,2026-04-03T19:22:18.585506+00:00
75,112-0002,Muskogee (OK),2025-04-17,2025-05-14,3977.33,2026-04-03T19:22:18.585506+00:00
76,112-0002,Muskogee (OK),2025-05-15,2025-06-11,6423.0,2026-04-03T19:22:18.585506+00:00
77,112-0002,Muskogee (OK),2025-06-12,2025-07-09,2385.0,2026-04-03T19:22:18.585506+00:00
78,112-0002,Muskogee (OK),2025-07-10,2025-08-06,6168.5,2026-04-03T19:22:18.585506+00:00
79,112-0002,Muskogee (OK),2025-08-07,2025-09-03,11246.0,2026-04-03T19:22:18.585506+00:00
80,112-0002,Muskogee (OK),2025-09-04,2025-10-01,11225.0,2026-04-03T19:22:18.585506+00:00
81,112-0002,Muskogee (OK),2025-10-02,2025-10-29,11375.0,2026-04-03T19:22:18.585506+00:00
82,112-0002,Muskogee (OK),2025-10-30,2025-11-26,2913.5,2026-04-03T19:22:18.585506+00:00
83,112-0002,Muskogee (OK),2025-11-27,2025-12-31,7956.5,2026-04-03T19:22:18.585506+00:00
84,112-0002,Muskogee (OK),2026-01-01,2026-01-28,2660.5,2026-04-03T19:22:18.585506+00:00
85,112-0002,Muskogee (OK),2026-01-29,2026-02-25,4204.33,2026-04-03T19:22:18.585506+00:00
86,112-0002,Muskogee (OK),2026-02-26,2026-03-25,3395.5,2026-04-03T19:22:18.585506+00:00
87,112-0002,Muskogee (OK),2026-03-26,2026-04-22,3854.0,2026-04-03T19:22:18.585506+00:00
88,112-0003,Lawton (OK),2022-12-29,2023-01-25,3202.33,2026-04-03T19:22:18.585506+00:00
89,112-0003,Lawton (OK),2023-01-26,2023-02-22,1625.0,2026-04-03T19:22:18.585506+00:00
90,112-0003,Lawton (OK),2023-02-23,2023-03-22,5426.5,2026-04-03T19:22:18.585506+00:00
91,112-0003,Lawton (OK),2023-03-23,2023-04-19,1729.33,2026-04-03T19:22:18.585506+00:00
92,112-0003,Lawton (OK),2023-04-20,2023-05-17,1352.25,2026-04-03T19:22:18.585506+00:00
93,112-0003,Lawton (OK),2023-05-18,2023-06-14,1865.33,2026-04-03T19:22:18.585506+00:00
94,112-0003,Lawton (OK),2023-06-15,2023-07-12,2780.5,2026-04-03T19:22:18.585506+00:00
95,112-0003,Lawton (OK),2023-07-13,2023-08-09,1120.5,2026-04-03T19:22:18.585506+00:00
96,112-0003,Lawton (OK),2023-08-10,2023-09-06,919.55,2026-04-03T19:22:18.585506+00:00
97,112-0003,Lawton (OK),2023-09-07,2023-10-04,1726.0,2026-04-03T19:22:18.585506+00:00
98,112-0003,Lawton (OK),2023-10-05,2023-11-01,1983.4,2026-04-03T19:22:18.585506+00:00
99,112-0003,Lawton (OK),2023-11-02,2023-11-29,1039.9,2026-04-03T19:22:18.585506+00:00
100,112-0003,Lawton (OK),2023-11-30,2023-12-27,1221.25,2026-04-03T19:22:18.585506+00:00
101,112-0003,Lawton (OK),2023-12-28,2024-01-24,4600.5,2026-04-03T19:22:18.585506+00:00
102,112-0003,Lawton (OK),2024-01-25,2024-02-21,2399.75,2026-04-03T19:22:18.585506+00:00
103,112-0003,Lawton (OK),2024-02-22,2024-03-20,1425.25,2026-04-03T19:22:18.585506+00:00
104,112-0003,Lawton (OK),2024-03-21,2024-04-17,2765.75,2026-04-03T19:22:18.585506+00:00
105,112-0003,Lawton (OK),2024-04-18,2024-05-15,5196.5,2026-04-03T19:22:18.585506+00:00
106,112-0003,Lawton (OK),2024-05-16,2024-06-12,2682.25,2026-04-03T19:22:18.585506+00:00
107,112-0003,Lawton (OK),2024-06-13,2024-07-10,3344.0,2026-04-03T19:22:18.585506+00:00
108,112-0003,Lawton (OK),2024-07-11,2024-08-07,2657.0,2026-04-03T19:22:18.585506+00:00
109,112-0003,Lawton (OK),2024-08-08,2024-09-04,2350.25,2026-04-03T19:22:18.585506+00:00
110,112-0003,Lawton (OK),2024-09-05,2024-10-02,1559.17,2026-04-03T19:22:18.585506+00:00
111,112-0003,Lawton (OK),2024-10-03,2024-10-30,2269.75,2026-04-03T19:22:18.585506+00:00
112,112-0003,Lawton (OK),2024-10-31,2024-11-27,1599.83,2026-04-03T19:22:18.585506+00:00
113,112-0003,Lawton (OK),2024-11-28,2024-12-25,1193.29,2026-04-03T19:22:18.585506+00:00
114,112-0003,Lawton (OK),2024-12-26,2025-01-22,1011.14,2026-04-03T19:22:18.585506+00:00
115,112-0003,Lawton (OK),2025-01-23,2025-02-19,1271.67,2026-04-03T19:22:18.585506+00:00
116,112-0003,Lawton (OK),2025-02-20,2025-03-19,867.9,2026-04-03T19:22:18.585506+00:00
117,112-0003,Lawton (OK),2025-03-20,2025-04-16,2877.67,2026-04-03T19:22:18.585506+00:00
118,112-0003,Lawton (OK),2025-04-17,2025-05-14,1194.71,2026-04-03T19:22:18.585506+00:00
119,112-0003,Lawton (OK),2025-05-15,2025-06-11,1155.13,2026-04-03T19:22:18.585506+00:00
120,112-0003,Lawton (OK),2025-06-12,2025-07-09,639.15,2026-04-03T19:22:18.585506+00:00
121,112-0003,Lawton (OK),2025-07-10,2025-08-06,816.1,2026-04-03T19:22:18.585506+00:00
122,112-0003,Lawton (OK),2025-08-07,2025-09-03,638.67,2026-04-03T19:22:18.585506+00:00
123,112-0003,Lawton (OK),2025-09-04,2025-10-01,1182.17,2026-04-03T19:22:18.585506+00:00
124,112-0003,Lawton (OK),2025-10-02,2025-10-29,873.5,2026-04-03T19:22:18.585506+00:00
125,112-0003,Lawton (OK),2025-10-30,2025-11-26,1394.5,2026-04-03T19:22:18.585506+00:00
126,112-0003,Lawton (OK),2025-11-27,2025-12-31,8814.0,2026-04-03T19:22:18.585506+00:00
