id,week_start,location_id,store_name,dm,revenue_band,hourly_goal,source,status
116,2026-04-09,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,draft,draft
117,2026-04-09,112-0003,Lawton (OK),Manny,<25k,422.0,draft,draft
118,2026-04-09,112-0004,Ardmore (OK),Manny,<25k,422.0,draft,draft
119,2026-04-09,112-0005,Durant (OK),Manny,<25k,422.0,draft,draft
120,2026-04-09,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,draft,draft
121,2026-04-09,112-0007,Gainesville (TX),Steve,<25k,422.0,draft,draft
122,2026-04-09,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,draft,draft
123,2026-04-09,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,draft,draft
124,2026-04-09,112-0010,Little Elm (TX),Steve,<25k,422.0,draft,draft
125,2026-04-09,112-0011,Princeton (TX),Miriam,<25k,422.0,draft,draft
126,2026-04-09,112-0012,Amelia (OH),Renee,<25k,422.0,draft,draft
127,2026-04-09,112-0013,Milford (OH),Renee,<25k,422.0,draft,draft
128,2026-04-09,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,draft,draft
129,2026-04-09,112-0015,Centerville (OH),Cody,45k-50k,849.0,draft,draft
130,2026-04-09,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,draft,draft
131,2026-04-09,112-0017,West Chester (OH),Cody,30k-35k,504.0,draft,draft
132,2026-04-09,112-0018,Harrison (OH),Renee,30k-35k,504.0,draft,draft
133,2026-04-09,112-0019,Streetsboro (OH),Alex,<25k,422.0,draft,draft
134,2026-04-09,112-0020,Strongsville (OH),Alex,<25k,422.0,draft,draft
135,2026-04-09,112-0021,Loveland (OH),Renee,30k-35k,504.0,draft,draft
136,2026-04-09,112-0022,Avon (OH),Alex,<25k,422.0,draft,draft
137,2026-04-09,112-0023,Lorain (OH),Alex,<25k,422.0,draft,draft
138,2026-04-09,112-0024,Beavercreek (OH),Cody,25k-30k,420.0,draft,draft
139,2026-04-09,112-0026,Fairfield (OH),Alex,<25k,422.0,draft,draft
140,2026-04-09,112-0027,Florence (KY),Alex,<25k,422.0,draft,draft
141,2026-04-09,112-0028,Englewood - S Main (OH),Cody,30k-35k,504.0,draft,draft
142,2026-04-09,112-0029,Grove City (OH),Cody,<25k,422.0,draft,draft
143,2026-04-09,112-0030,Hilliard (OH),Cody,<25k,422.0,draft,draft
144,2026-04-09,112-0031,McAlester (OK),Dottie,<25k,422.0,draft,draft
145,2026-04-09,112-0032,Plano (TX),Miriam,<25k,422.0,draft,draft
146,2026-04-09,112-0033,Brownwood (TX),Steve,<25k,422.0,draft,draft
147,2026-04-09,112-0034,Marshall (TX),Miriam,<25k,422.0,draft,draft
148,2026-04-09,112-0035,Tulsa - 51st (OK),Dottie,NRO Seasoned,895.0,draft,draft
149,2026-04-09,112-0036,Denton (TX),Steve,35k-40k,588.0,draft,draft
150,2026-04-09,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,588.0,draft,draft
151,2026-04-09,112-0038,Ada (OK),Dottie,NRO,979.0,draft,draft
152,2026-04-09,112-0040,Sherman,Steve,<25k,422.0,draft,draft
153,2026-04-09,112-0042,Victoria,Miriam,<25k,422.0,draft,draft
154,2026-04-09,112-0043,Greenville,Manny,<25k,422.0,draft,draft
155,2026-04-16,112-0001,Stillwater (OK),Manny,35k-40k,588.0,draft,draft
156,2026-04-16,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,draft,draft
157,2026-04-16,112-0003,Lawton (OK),Manny,<25k,422.0,draft,draft
158,2026-04-16,112-0004,Ardmore (OK),Manny,<25k,422.0,draft,draft
159,2026-04-16,112-0005,Durant (OK),Manny,<25k,422.0,draft,draft
160,2026-04-16,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,draft,draft
161,2026-04-16,112-0007,Gainesville (TX),Steve,<25k,422.0,draft,draft
162,2026-04-16,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,draft,draft
163,2026-04-16,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,draft,draft
164,2026-04-16,112-0010,Little Elm (TX),Steve,<25k,422.0,draft,draft
165,2026-04-16,112-0011,Princeton (TX),Miriam,<25k,422.0,draft,draft
166,2026-04-16,112-0012,Amelia (OH),Renee,<25k,422.0,draft,draft
167,2026-04-16,112-0013,Milford (OH),Renee,<25k,422.0,draft,draft
168,2026-04-16,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,draft,draft
169,2026-04-16,112-0015,Centerville (OH),Cody,45k-50k,849.0,draft,draft
170,2026-04-16,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,draft,draft
171,2026-04-16,112-0017,West Chester (OH),Cody,30k-35k,504.0,draft,draft
172,2026-04-16,112-0018,Harrison (OH),Renee,30k-35k,504.0,draft,draft
173,2026-04-16,112-0019,Streetsboro (OH),Alex,<25k,422.0,draft,draft
174,2026-04-16,112-0020,Strongsville (OH),Alex,<25k,422.0,draft,draft
175,2026-04-16,112-0021,Loveland (OH),Renee,30k-35k,504.0,draft,draft
176,2026-04-16,112-0022,Avon (OH),Alex,<25k,422.0,draft,draft
177,2026-04-16,112-0023,Lorain (OH),Alex,<25k,422.0,draft,draft
178,2026-04-16,112-0024,Beavercreek (OH),Cody,25k-30k,420.0,draft,draft
179,2026-04-16,112-0026,Fairfield (OH),Alex,<25k,422.0,draft,draft
180,2026-04-16,112-0027,Florence (KY),Alex,<25k,422.0,draft,draft
181,2026-04-16,112-0028,Englewood - S Main (OH),Cody,30k-35k,504.0,draft,draft
182,2026-04-16,112-0029,Grove City (OH),Cody,<25k,422.0,draft,draft
183,2026-04-16,112-0030,Hilliard (OH),Cody,<25k,422.0,draft,draft
184,2026-04-16,112-0031,McAlester (OK),Dottie,<25k,422.0,draft,draft
185,2026-04-16,112-0032,Plano (TX),Miriam,<25k,422.0,draft,draft
186,2026-04-16,112-0033,Brownwood (TX),Steve,<25k,422.0,draft,draft
187,2026-04-16,112-0034,Marshall (TX),Miriam,<25k,422.0,draft,draft
188,2026-04-16,112-0035,Tulsa - 51st (OK),Dottie,NRO Seasoned,895.0,draft,draft
189,2026-04-16,112-0036,Denton (TX),Steve,35k-40k,588.0,draft,draft
190,2026-04-16,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,588.0,draft,draft
191,2026-04-16,112-0038,Ada (OK),Dottie,NRO,979.0,draft,draft
192,2026-04-16,112-0040,Sherman,Steve,<25k,422.0,draft,draft
193,2026-04-16,112-0042,Victoria,Miriam,<25k,422.0,draft,draft
194,2026-04-16,112-0043,Greenville,Manny,<25k,422.0,draft,draft
195,2026-04-23,112-0001,Stillwater (OK),Manny,35k-40k,588.0,draft,draft
196,2026-04-23,112-0002,Muskogee (OK),Dottie,35k-40k,588.0,draft,draft
197,2026-04-23,112-0003,Lawton (OK),Manny,<25k,422.0,draft,draft
198,2026-04-23,112-0004,Ardmore (OK),Manny,<25k,422.0,draft,draft
199,2026-04-23,112-0005,Durant (OK),Manny,<25k,422.0,draft,draft
200,2026-04-23,112-0006,Wichita Falls (TX),Steve,30k-35k,504.0,draft,draft
