id,week_start,location_id,actual_hours,hourly_goal,variance,net_sales,labor_pct
1,2026-03-26,112-0019,454.1,422.0,32.1,15673.35,0.42835386181001506
2,2026-03-26,112-0020,365.02,422.0,-56.98,14565.44,0.3853100215304172
3,2026-03-26,112-0022,475.1,422.0,53.1,12198.88,0.5689883005652979
4,2026-03-26,112-0023,421.71,422.0,-0.29,15821.25,0.3963884016749625
5,2026-03-26,112-0026,516.49,422.0,94.49,25731.12,0.30995541585442066
6,2026-03-26,112-0027,495.0,422.0,73.0,29570.21,0.27026930143546496
7,2026-03-26,112-0015,630.06,849.0,-218.94,45730.72,0.21008962902836428
8,2026-03-26,112-0017,537.55,504.0,33.55,28955.24,0.2997536887969155
9,2026-03-26,112-0024,497.69,420.0,77.69,28582.18,0.24312911051571293
10,2026-03-26,112-0028,446.48,504.0,-57.52,31014.4,0.21072501805612875
11,2026-03-26,112-0029,531.74,422.0,109.74,26239.99,0.27343531762016676
12,2026-03-26,112-0030,364.23,422.0,-57.77,19563.91,0.2612345896091324
13,2026-03-26,112-0002,575.64,588.0,-12.36,36376.64,0.2284166432083887
14,2026-03-26,112-0031,497.17,422.0,75.17,26804.73,0.2520741675070034
15,2026-03-26,112-0035,846.07,895.0,-48.93,42539.51,0.29494862540729777
16,2026-03-26,112-0038,902.88,979.0,-76.12,41028.21,0.29360505856823876
17,2026-03-26,112-0001,534.24,588.0,-53.76,28428.96,0.2692363702365475
18,2026-03-26,112-0003,501.28,422.0,79.28,25471.87,0.2565402540135452
19,2026-03-26,112-0004,472.89,422.0,50.89,31576.43,0.1982779560577304
20,2026-03-26,112-0005,495.49,422.0,73.49,21428.91,0.3116201430684062
21,2026-03-26,112-0008,521.02,504.0,17.02,29350.55,0.239648320048517
22,2026-03-26,112-0009,472.89,420.0,52.89,28902.51,0.20971673394456053
23,2026-03-26,112-0011,479.94,422.0,57.94,22260.13,0.2994191857819339
24,2026-03-26,112-0032,494.74,422.0,72.74,27810.22,0.24408832436420852
25,2026-03-26,112-0034,447.58,422.0,25.58,24165.05,0.24853786770563274
26,2026-03-26,112-0037,582.32,588.0,-5.68,24074.23,0.3552047147510014
27,2026-03-26,112-0012,393.33,422.0,-28.67,28341.76,0.20841472089242166
28,2026-03-26,112-0013,417.23,422.0,-4.77,26340.84,0.23764617984847863
29,2026-03-26,112-0014,397.37,422.0,-24.63,22437.58,0.26486724504157755
30,2026-03-26,112-0016,419.28,422.0,-2.72,23856.39,0.26048869925416207
31,2026-03-26,112-0018,467.95,504.0,-36.05,33700.17,0.2117642136523347
32,2026-03-26,112-0021,399.9,504.0,-104.1,31513.1,0.20417223313479158
33,2026-03-26,112-0006,508.24,504.0,4.24,30799.59,0.23962461837966026
34,2026-03-26,112-0007,447.31,422.0,25.31,21159.82,0.2825444639888241
35,2026-03-26,112-0010,434.59,422.0,12.59,23272.01,0.2571595663631977
36,2026-03-26,112-0033,455.36,422.0,33.36,28446.39,0.21059965781246762
37,2026-03-26,112-0036,661.63,588.0,73.63,36291.45,0.25209822148191935
