id,week_start,location_id,actual_hours,hourly_goal,variance,net_sales,labor_pct,loaded_payroll
198,2026-03-19,112-0015,630.06,849.0,-218.94,45730.72,0.21008962902836428,9607.55
199,2026-03-19,112-0017,537.55,559.0,-21.45,28955.24,0.2997536887969155,8679.44
200,2026-03-19,112-0024,497.69,473.0,24.69,28582.18,0.24312911051571293,6949.16
201,2026-03-19,112-0028,446.48,559.0,-112.52,31014.4,0.21072501805612875,6535.51
202,2026-03-19,112-0029,531.74,422.0,109.74,26239.99,0.27343531762016676,7174.94
203,2026-03-19,112-0030,364.23,422.0,-57.77,19563.91,0.2612345896091324,5110.77
204,2026-03-19,112-0002,575.64,620.0,-44.36,36376.64,0.2284166432083887,8309.03
205,2026-03-19,112-0031,497.17,422.0,75.17,26804.73,0.2520741675070034,6756.78
206,2026-03-19,112-0035,846.07,895.0,-48.93,42539.51,0.29494862540729777,12546.97
207,2026-03-19,112-0038,902.88,979.0,-76.12,41028.21,0.29360505856823876,12046.09
208,2026-03-19,112-0001,534.24,620.0,-85.76,28428.96,0.2692363702365475,7654.11
209,2026-03-19,112-0003,501.28,422.0,79.28,25471.87,0.2565402540135452,6534.56
210,2026-03-19,112-0004,472.49,422.0,50.49,31576.43,0.19810250873832158,6255.37
211,2026-03-19,112-0005,495.49,422.0,73.49,21428.91,0.3116201430684062,6677.68
212,2026-03-19,112-0008,521.02,559.0,-37.98,29350.55,0.239648320048517,7033.81
213,2026-03-19,112-0009,472.89,473.0,-0.11,28902.51,0.20971673394456053,6061.34
214,2026-03-19,112-0011,479.94,422.0,57.94,22260.13,0.2994191857819339,6665.11
215,2026-03-19,112-0032,494.74,422.0,72.74,27810.22,0.24408832436420852,6788.15
216,2026-03-19,112-0034,447.58,422.0,25.58,24165.05,0.24853786770563274,6005.93
217,2026-03-19,112-0037,582.32,620.0,-37.68,24074.23,0.3552047147510014,8551.28
218,2026-03-19,112-0012,393.33,422.0,-28.67,28341.76,0.20841472089242166,5906.84
219,2026-03-19,112-0013,417.23,422.0,-4.77,26340.84,0.23764617984847863,6259.8
220,2026-03-19,112-0014,397.37,422.0,-24.63,22437.58,0.26486724504157755,5942.98
221,2026-03-19,112-0016,419.28,422.0,-2.72,23856.39,0.26048869925416207,6214.32
222,2026-03-19,112-0018,467.95,559.0,-91.05,33700.17,0.2117642136523347,7136.49
